,Topic,Count,Name,Representation,Representative_Docs
49,48,39,48_toboolring_true_false_p2,"['toboolring', 'true', 'false', 'p2', 'p1', 'not', 'implies', 'countable', 'refl', 'refltransgen']","['lemma false_of_a_eq_not_a {a : Prop} (h : a = not a) : false', 'lemma vsub_right_cancel_iff {p1 p2 p : P} : p -ᵥ p1 = p -ᵥ p2 ↔ p1 = p2', 'lemma vsub_left_cancel_iff {p1 p2 p : P} : (p1 -ᵥ p) = p2 -ᵥ p ↔ p1 = p2']"
50,49,39,49_inr_suminr_suminl_inl,"['inr', 'suminr', 'suminl', 'inl', 'sumassoc', 'equivsetsumcompl', 'sumelim', 'ffix', 'eobj', 'inverseassociator']","['lemma inverse_associator_map_inr_inl {X Y : D} (f : inr (inl X) ⟶ inr (inl Y)) :\n  (inverse_associator C D E).map f = f', 'theorem inl_ne_inr {a : α} {b : β} : inl a ≠ inr b.', 'lemma sum_assoc_apply_inl_inr {α β γ} (b) : sum_assoc α β γ (inl (inr b)) = inr (inl b)']"
51,50,39,50_head_tail_lhead_tails,"['head', 'tail', 'lhead', 'tails', 'inhabited', 'iterate', 'tailcons', 'stream', 'length', 'ltailsum']","['theorem tail_inits (s : stream α) :\n  tail (inits s) = inits_core [head s, head (tail s)] (tail (tail s))', ""lemma eq_cons_of_mem_head' {x : α} : ∀ {l : list α}, x ∈ l.head' → l = x::tail l"", 'theorem interleave_eq (s₁ s₂ : stream α) : s₁ ⋈ s₂ = head s₁ :: head s₂ :: (tail s₁ ⋈ tail s₂)']"
52,51,38,51_image2_simage_xtoset_essimage,"['image2', 'simage', 'xtoset', 'essimage', 'spimage', 'imageid', 'tpimage', 'image', 'timage', 'preimage']","[""lemma Union_image_right : (⋃ b ∈ t, (λ a, f a b) '' s) = image2 f s t"", 'lemma image2_Union_right (s : set α) (t : ι → set β) :\n  image2 f s (⋃ i, t i) = ⋃ i, image2 f s (t i)', 'lemma image2_subset_iff {u : set γ} :\n  image2 f s t ⊆ u ↔ ∀ (x ∈ s) (y ∈ t), f x y ∈ u']"
53,52,37,52_iscoprime_coprime_iscovering_pp,"['iscoprime', 'coprime', 'iscovering', 'pp', 'mcoprime', 'natcoprime', 'prime', 'h1', 'h2', 'iscoprimeofmulrightleft']","['theorem coprime_zero_left (n : ℕ) : coprime 0 n ↔ n = 1', 'theorem coprime.coprime_dvd_right {m k n : ℕ} (H1 : n ∣ m) (H2 : coprime k m) : coprime k n', 'theorem coprime.mul_right {k m n : ℕ} (H1 : coprime k m) (H2 : coprime k n) : coprime k (m * n)']"
54,53,37,53_isunit_divdivself_eqmulofdiveq_diveqofeqmul,"['isunit', 'divdivself', 'eqmulofdiveq', 'diveqofeqmul', 'ma', 'mb', 'divunion', 'divleftinj', 'divdivcancelleft', 'zerodivsubset']","['lemma mul_eq_mul_of_div_eq_div (hb : is_unit b) (hd : is_unit d) (a c : α)\n  (h : a / b = c / d) : a * d = c * b', 'lemma div_left_inj {a b d : ℤ} (hda : d ∣ a) (hdb : d ∣ b) : a / d = b / d ↔ a = b', 'lemma div_mem_div [has_div α] (a b : part α) (ma mb : α) (ha : ma ∈ a) (hb : mb ∈ b) :\n  ma / mb ∈ a / b']"
55,54,37,54_zeromod_ma_mb_moddef,"['zeromod', 'ma', 'mb', 'moddef', 'bval', 'nat', 'modself', 'dvdmodiff', 'intmodnateqsubmulfloorratdiv', 'modeqifflt']","['lemma mod_eq_sub_mod {a b : nat} (h : b ≤ a) : a % b = (a - b) % b', 'lemma odd_mul_odd_div_two {m n : ℕ} (hm1 : m % 2 = 1) (hn1 : n % 2 = 1) :\n  (m * n) / 2 = m * (n / 2) + m / 2', 'lemma mod_mem_mod [has_mod α] (a b : part α) (ma mb : α) (ha : ma ∈ a) (hb : mb ∈ b) :\n  ma % mb ∈ a % b']"
56,55,37,55_mulposmono_covariantclass_a0_posmulmonorev,"['mulposmono', 'covariantclass', 'a0', 'posmulmonorev', 'posmulmono', 'mullemuliffright', 'mulposmonorev', 'hb', 'swap', 'bc']","['lemma le_mul_iff_one_le_right\n  [pos_mul_mono α] [pos_mul_mono_rev α]\n  (a0 : 0 < a) :\n  a ≤ a * b ↔ 1 ≤ b', 'lemma mul_le_mul_left [pos_mul_mono α] [pos_mul_mono_rev α]\n  (a0 : 0 < a) :\n  a * b ≤ a * c ↔ b ≤ c', 'lemma le_of_mul_le_mul_left [pos_mul_mono_rev α] (bc : a * b ≤ a * c) (a0 : 0 < a) : b ≤ c']"
57,56,36,56_muldivassoc_halfpos_diveqoflt_coenatdiv,"['muldivassoc', 'halfpos', 'diveqoflt', 'coenatdiv', 'coedivnat', 'coenatdivself', 'castdiv', 'diveqofeqmulright', 'divdvdofdvd', 'diveqofltle']","['lemma lt_div_iff_mul_lt {n d : ℕ} (hnd : d ∣ n) (a : ℕ) : a < n / d ↔ d * a < n', 'lemma lt_mul_div_succ (m : ℕ) {n : ℕ} (n0 : 0 < n) : m < n * ((m / n) + 1)', 'lemma add_div {a b c : ℕ} (hc0 : 0 < c) : (a + b) / c = a / c + b / c +\n  if c ≤ a % c + b % c then 1 else 0']"
58,57,36,57_infi_coeinfi_infisubtype_bddbelow,"['infi', 'coeinfi', 'infisubtype', 'bddbelow', 'hasinf', 'functionswap', 'upperset', 'subsemigroup', 'fcomap', 'cinfileofle']","['lemma u_infi {f : ι → β} : u (infi f) = ⨅ i, u (f i)', 'lemma le_mul_cinfi [covariant_class α α (*) (≤)] {a : α} {g : α} {h : ι → α}\n  (H : ∀ j, a ≤ g * h j) : a ≤ g * infi h', 'lemma lt_infi_iff : a < infi f ↔ ∃ b, a < b ∧ ∀ i, b ≤ f i']"
59,58,36,58_scard_paircomm_eqsingletoniffuniquemem_cardeqthree,"['scard', 'paircomm', 'eqsingletoniffuniquemem', 'cardeqthree', 'multiset', 'addsingletoneqiff', 'injonsingleton', 'infipair', 'imagepair', 'imageone']","['theorem mem_singleton_self (a : α) : a ∈ ({a} : multiset α)', 'theorem singleton_le {a : α} {s : multiset α} : {a} ≤ s ↔ a ∈ s', 'theorem pair_comm (x y : α) : ({x, y} : multiset α) = {y, x}']"
60,59,36,59_injective_functioninjective_ofinjective_mapinjective,"['injective', 'functioninjective', 'ofinjective', 'mapinjective', 'consrightinjective', 'injectiveiff', 'mulrightinjective', 'hfsymm', 'cons', 'summap']","['lemma mul_right_injective (h : is_unit a) : injective ((*) a)', 'lemma range_splitting_injective (f : α → β) : injective (range_splitting f)', 'lemma mul_single_injective (i : I) : function.injective (mul_single i : f i → Π i, f i)']"
61,60,35,60_sup_bddabove_hassup_snonempty,"['sup', 'bddabove', 'hassup', 'snonempty', 'csuple', 'ssup', 'csupleiff', 'hs', 'memsupiff', 'hbdd']","['lemma Sup_inf_eq : Sup s ⊓ b = ⨆ a ∈ s, a ⊓ b', 'lemma mem_Sup_iff : a ∈ Sup S ↔ ∀ s ∈ S, a ∈ s', 'lemma mem_Sup_iff : a ∈ Sup S ↔ ∃ s ∈ S, a ∈ s']"
62,61,34,61_ioo_hmem_pimulsingle_iio,"['ioo', 'hmem', 'pimulsingle', 'iio', 'ioi', 'ioc', 'ico', 'eqrightormemiooofmemioc', 'iocsubsetiooright', 'preimagecoeiootop']","['lemma bdd_above_Ioo : bdd_above (Ioo a b)', 'lemma wcovby.Ioo_eq (h : a ⩿ b) : Ioo a b = ∅', 'lemma covby_iff_Ioo_eq : a ⋖ b ↔ a < b ∧ Ioo a b = ∅']"
63,62,34,62_ismax_ismin_predn_pred,"['ismax', 'ismin', 'predn', 'pred', 'succ', 'ispredlimit', 'iscompl', 'notismintop', 'iscompltopbot', 'ispredlimitiffofnomin']","['lemma le_pred_iff_of_not_is_min (ha : ¬ is_min a) : b ≤ pred a ↔ b < a', 'lemma pred_lt_iff_of_not_is_min (ha : ¬ is_min a) : pred a < b ↔ a ≤ b', 'lemma succ_pred_of_not_is_min (h : ¬ is_min a) : succ (pred a) = a']"
64,63,34,63_qdenom_rdenom_qnum_rnum,"['qdenom', 'rdenom', 'qnum', 'rnum', 'mk', 'd0', 'abs', 'archimedean', 'anum', 'addnumdenom']","['theorem mk_le_of_forall_le {f : cau_seq ℚ abs} {x : ℝ}\n  (h : ∃ i, ∀ j ≥ i, (f j : ℝ) ≤ x) : mk f ≤ x', 'theorem mk_near_of_forall_near {f : cau_seq ℚ abs} {x : ℝ} {ε : ℝ}\n  (H : ∃ i, ∀ j ≥ i, |(f j : ℝ) - x| ≤ ε) : |mk f - x| ≤ ε', 'theorem le_mk_of_forall_le {f : cau_seq ℚ abs} :\n  (∃ i, ∀ j ≥ i, x ≤ f j) → x ≤ mk f']"
65,64,34,64_round_odd_even_divtwomultwoaddoneofodd,"['round', 'odd', 'even', 'divtwomultwoaddoneofodd', 'zeroleoneclass', 'n2', 'zeroletwo', 'primeoddofnetwo', 'primeeqtwoorodd', 'roundzero']","['lemma round_neg_two_inv : round (-2⁻¹ : α) = 0', 'lemma round_two_inv : round (2⁻¹ : α) = 1', 'lemma round_zero : round (0 : α) = 0']"
66,65,33,65_intermono_set_sinterunion_intersubset,"['intermono', 'set', 'sinterunion', 'intersubset', 'intercongr', 'xnonempty', 'meminter', 'classu', 'intercoeset', 'binterand']","[""theorem sInter_image (f : α → set β) (s : set α) : ⋂₀ (f '' s) = ⋂ x ∈ s, f x"", 'theorem sInter_union (S T : set (set α)) : ⋂₀ (S ∪ T) = ⋂₀ S ∩ ⋂₀ T', 'theorem sInter_Union (s : ι → set (set α)) : ⋂₀ (⋃ i, s i) = ⋂ i, ⋂₀ s i']"
67,66,33,66_upperbounds_lowerbounds_bddbelow_memupperboundsimage,"['upperbounds', 'lowerbounds', 'bddbelow', 'memupperboundsimage', 'memlowerboundsimage', 'memlowerboundsimageself', 'hat', 'has', 'bddabove', 'image2']","['lemma mem_lower_bounds_image2_of_mem_lower_bounds_of_mem_lower_bounds (ha : a ∈ upper_bounds s)\n  (hb : b ∈ lower_bounds t) : f a b ∈ lower_bounds (image2 f s t)', ""lemma mem_lower_bounds_image (Has : a ∈ lower_bounds s) (Hat : a ∈ t) :\n  f a ∈ lower_bounds (f '' s)"", ""lemma mem_upper_bounds_image (Has : a ∈ upper_bounds s) (Hat : a ∈ t) :\n  f a ∈ upper_bounds (f '' s)""]"
68,67,32,67_tcard_finset_sbunion_toffdiag,"['tcard', 'finset', 'sbunion', 'toffdiag', 'intersubsetleft', 'timage', 's1', 'bunioninter', 'cardinteraddcardunion', 'interuniv']","['theorem inter_bUnion (t : finset β) (s : finset α) (f : α → finset β) :\n  t ∩ s.bUnion f = s.bUnion (λ x, t ∩ f x)', 'theorem mem_of_mem_inter_right {a : α} {s₁ s₂ : finset α} (h : a ∈ s₁ ∩ s₂) :\n  a ∈ s₂', 'theorem inter_subset_left (s₁ s₂ : finset α) : s₁ ∩ s₂ ⊆ s₁']"
69,68,32,68_tdown_unionuniondistribright_maximals_mb,"['tdown', 'unionuniondistribright', 'maximals', 'mb', 'ma', 'setsemiring', 'sdown', 'soffdiag', 'ndunion', 'unionleftidem']","['theorem ndunion_le_union (s t : multiset α) : ndunion s t ≤ s ∪ t', 'lemma maximals_union : maximals r (s ∪ t) ⊆ maximals r s ∪ maximals r t', 'lemma union_mem_union [has_union α] (a b : part α) (ma mb : α) (ha : ma ∈ a) (hb : mb ∈ b) :\n  ma ∪ mb ∈ a ∪ b']"
70,69,32,69_subsingleton_subsingletoniff_nontrivial_notsubsingleton,"['subsingleton', 'subsingletoniff', 'nontrivial', 'notsubsingleton', 'subsingletonuniv', 'eqreplicateofsubsingleton', 'issearchableofwellformed', 'choiceeq', 'addtorsorsubsingletoniff', 'subsingletonle']","['lemma subsingleton_iff : subsingleton α ↔ ∀ (x y : α), x = y', 'lemma subsingleton_iff_bot_eq_top :\n  (⊥ : α) = (⊤ : α) ↔ subsingleton α', 'lemma strict_mono [subsingleton α] (f : α → β) : strict_mono f']"
71,70,32,70_fcopy_coecopy_isempty_copyeq,"['fcopy', 'coecopy', 'isempty', 'copyeq', 'ltofltofle', 'aread', 'hashfn', 'bread', 'sz', 'notmemofempty']","['theorem equiv_empty (x : pSet) [is_empty x.type] : equiv x ∅', ""theorem insert_lemma (hash_fn : α → nat) {n n'}\n  {bkts : bucket_array α β n} {sz} (v : valid hash_fn bkts sz) :\n  valid hash_fn (bkts.foldl (mk_array _ [] : bucket_array α β n') (reinsert_aux hash_fn)) sz"", 'lemma copy_eq (u : αˣ) (val hv inv hi) :\n  u.copy val hv inv hi = u']"
72,71,32,71_prime_pp_cancelcommmonoidwithzero_dvdtrans,"['prime', 'pp', 'cancelcommmonoidwithzero', 'dvdtrans', 'pprime', 'primedvdofdvdpow', 'dvdtonat', 'dvdmulright', 'dvdmul', 'posofdvdofpos']","['theorem prime.not_dvd_mul {p m n : ℕ} (pp : prime p)\n  (Hm : ¬ p ∣ m) (Hn : ¬ p ∣ n) : ¬ p ∣ m * n', 'theorem prime.dvd_of_dvd_pow {p m n : ℕ} (pp : prime p) (h : p ∣ m^n) : p ∣ m', 'theorem prime.dvd_prime_iff_associated [cancel_comm_monoid_with_zero α]\n  {p q : α} (pp : prime p) (qp : prime q) :\n  p ∣ q ↔ associated p q']"
73,72,32,72_lxor_bxor_shiftl_shiftr,"['lxor', 'bxor', 'shiftl', 'shiftr', 'bit', 'bodd', 'memcenteriff', 'lor', 'boddadd', 'lxorbit']","['lemma lxor_bit : ∀ (a m b n),\n  lxor (bit a m) (bit b n) = bit (bxor a b) (lxor m n)', 'lemma lxor_bit (a m b n) : lxor (bit a m) (bit b n) = bit (bxor a b) (lxor m n)', 'lemma test_bit_lxor (m n k) : test_bit (lxor m n) k = bxor (test_bit m k) (test_bit n k)']"
74,73,31,73_bool_tobool_bit_ff,"['bool', 'tobool', 'bit', 'ff', 'tt', 'cond', 'pos', 'posnumbit', 'decidable', 'num']","['lemma univ_eq : (univ : set bool) = {ff, tt}', 'theorem eq_tt_of_bnot_eq_ff : ∀ {a : bool}, !a = ff → a = tt', 'theorem bitwise_to_nat {f : num → num → num} {g : bool → bool → bool}\n  (p : pos_num → pos_num → num)\n  (gff : g ff ff = ff)\n  (f00 : f 0 0 = 0)\n  (f0n : ∀ n, f 0 (pos n) = cond (g ff tt) (pos n) 0)\n  (fn0 : ∀ n, f (pos n) 0 = cond (g tt ff) (pos n) 0)\n  (fnn : ∀ m n, f (pos m) (pos n) = p m n)\n  (p11 : p 1 1 = cond (g tt tt) 1 0)\n  (p1b : ∀ b n, p 1 (pos_num.bit b n) = bit (g tt b) (cond (g ff tt) (pos n) 0))\n  (pb1 : ∀ a m, p (pos_num.bit a m) 1 = bit (g a tt) (cond (g tt ff) (pos m) 0))\n  (pbb : ∀ a b m n, p (pos_num.bit a m) (pos_num.bit b n) = bit (g a b) (p m n))\n  : ∀ m n : num, (f m n : ℕ) = nat.bitwise g m n']"
75,74,31,74_lcm_slcm_natlcm_ny,"['lcm', 'slcm', 'natlcm', 'ny', 'nx', 'normalizedgcdmonoid', 'lcmself', 'lcmdvd', 'dvdlcmright', 'lcmdvdiff']","['theorem dvd_lcm_left (m n : ℕ) : m ∣ lcm m n', 'theorem lcm_comm (m n : ℕ) : lcm m n = lcm n m', 'theorem lcm_comm [normalized_gcd_monoid α] (a b : α) : lcm a b = lcm b a']"
76,75,31,75_monotone_principal_antitone_monotoneapp,"['monotone', 'principal', 'antitone', 'monotoneapp', 'dabove', 'functionmonotoneeval', 'cardmono', 'antitonelam', 'floormono', 'functioneval']","['lemma monotone_lt {x : α}: monotone ((<) x)', 'lemma monotone : monotone (u ∘ l)', 'lemma monotone : monotone c']"
77,76,31,76_normalizefinlt_image_gb_ga,"['normalizefinlt', 'image', 'gb', 'ga', 'functionsemiconj', 'strictanti', 'nm', 'uicc', 'monotoneon', 'nk']","[""lemma _root_.monotone_on.image_uIcc_subset (hf : monotone_on f (uIcc a b)) :\n  f '' uIcc a b ⊆ uIcc (f a) (f b)"", 'lemma _root_.function.semiconj.finset_image [decidable_eq α] {f : α → β} {ga : α → α} {gb : β → β}\n  (h : function.semiconj f ga gb) :\n  function.semiconj (image f) (image ga) (image gb)', 'lemma _root_.function.semiconj.set_image {f : α → β} {ga : α → α} {gb : β → β}\n  (h : function.semiconj f ga gb) :\n  function.semiconj (image f) (image ga) (image gb)']"
78,77,31,77_disjoint_disjointmap_disjointsingleton_npairwisedisjoint,"['disjoint', 'disjointmap', 'disjointsingleton', 'npairwisedisjoint', 'spairwisedisjoint', 'pairwisedisjointfiber', 'disjointconsleft', 'disjointaddright', 'disjointappendleft', 'disjointofdisjointconsleft']","['lemma disjoint_of_disjoint_cons_left {l₁ l₂} : disjoint (a :: l₁) l₂ → disjoint l₁ l₂', 'lemma disjoint_supr_iff {f : ι → α} : disjoint a (⨆ i, f i) ↔ ∀ i, disjoint a (f i)', 'lemma disjoint_cons_left : disjoint (a :: l₁) l₂ ↔ a ∉ l₂ ∧ disjoint l₁ l₂']"
79,78,30,78_imageempty_bunionempty_alist_supempty,"['imageempty', 'bunionempty', 'alist', 'supempty', 'entries', 'cardempty', 'binterempty', 'emptysdiff', 'csupempty', 'emptyentries']","['theorem powerset_empty : 𝒫 (∅ : set α) = {∅}', 'theorem empty_entries : (∅ : alist β).entries = []', 'theorem empty_union {s : alist β} : (∅ : alist β) ∪ s = s']"
80,79,30,79_subsemigroup_tcomap_scomap_subsingleton,"['subsemigroup', 'tcomap', 'scomap', 'subsingleton', 'ssubsingleton', 'smap', 'fmap', 'permsubsingletoneqrefl', 'subsingletonfloorsemiring', 'comapmker']","[""lemma coe_map (f : M →ₙ* N) (S : subsemigroup M) :\n  (S.map f : set N) = f '' S"", 'lemma mem_map {f : M →ₙ* N} {S : subsemigroup M} {y : N} :\n  y ∈ S.map f ↔ ∃ x ∈ S, f x = y', ""lemma coe_inf (p p' : subsemigroup M) : ((p ⊓ p' : subsemigroup M) : set M) = p ∩ p'""]"
81,80,29,80_get_red_lreduceoption_getcolor,"['get', 'red', 'lreduceoption', 'getcolor', 'adom', 'blacknode', 'reduceoption', 'rednode', 'optionget', 'valbetween']","['lemma some_get : ∀ {x : option α} (h : is_some x), some (option.get h) = x', 'theorem get_eq_of_mem {a} : a ∈ s → get s = a', 'theorem get_eq_of_promises {a} : s ~> a → get s = a']"
82,81,29,81_pnatfind_natfind_find_findmin,"['pnatfind', 'natfind', 'find', 'findmin', 'finfind', 'findeqiff', 'findleiff', 'ltfindiff', 'fixapprox', 'exacti']","['theorem find_some (H : find p l = some a) : p a', 'lemma find_min : Π {n : ℕ} {p : fin n → Prop} [decidable_pred p] {i : fin n}\n  (hi : i ∈ by exactI fin.find p) {j : fin n} (hj : j < i), ¬ p j', 'lemma find_black_eq_find_red [decidable_rel lt] {l y r x} :\n  find lt (black_node l y r) x = find lt (red_node l y r) x']"
83,82,29,82_respequiv_as1_as2_resp,"['respequiv', 'as1', 'as2', 'resp', 'equiv', 'adjhomequiv', 'mulequivinv', 'equivmulright', 'gtop', 'star']","['theorem resp.equiv.euc : Π {n} {a b c : resp n},\n  resp.equiv a b → resp.equiv c b → resp.equiv a c', 'lemma eq_of_equiv : ∀ {as1 as2 : list α}, as1.length = as2.length →\n  equiv as1 as2 → as1 = as2', 'lemma equiv_symm : equiv as1 as2 → equiv as2 as1']"
84,83,29,83_foldl_foldr_lfoldl_listfoldr,"['foldl', 'foldr', 'lfoldl', 'listfoldr', 'fold', 'op', 'sfold', 'scanr', 'coefoldl', 'rightcommutative']","['theorem foldl1_eq_foldr1 : ∀ a b l, foldl f a (l++[b]) = foldr f b (a::l)', 'theorem foldl_eq_foldr : ∀ a l, foldl f a l = foldr f a l', 'theorem coe_foldr_swap (f : α → β → β) (H : left_commutative f) (b : β) (l : list α) :\n  foldr f H b l = l.foldl (λ x y, f y x) b']"
85,84,29,84_ts_permutationsaux_is_permutationsaux2,"['ts', 'permutationsaux', 'is', 'permutationsaux2', 'ys', 'permutations', 'cyclicpermutations', 'f2', 'id2', 'pointreflection']","['lemma map_permutations_aux (f : α → β) : ∀ (ts is : list α),\n  map (map f) (permutations_aux ts is) = permutations_aux (map f ts) (map f is)', 'theorem perm_of_mem_permutations_aux :\n  ∀ {ts is l : list α}, l ∈ permutations_aux ts is → l ~ ts ++ is', 'lemma permutations_aux_cons (t : α) (ts is : list α) :\n  permutations_aux (t :: ts) is = foldr (λy r, (permutations_aux2 t ts r y id).2)\n    (permutations_aux ts (t::is)) (permutations is)']"
86,85,29,85_unitsmk0_star_unitsembedproduct_unitspoweqpowmodtwo,"['unitsmk0', 'star', 'unitsembedproduct', 'unitspoweqpowmodtwo', 'tounitsinjective', 'unitsembedproductstar', 'unitsinvneg', 'unitofcoeunits', 'exists0', 'coestarinv']","['lemma exists0 {p : G₀ˣ → Prop} : (∃ g : G₀ˣ, p g) ↔ ∃ (g : G₀) (hg : g ≠ 0), p (units.mk0 g hg)', 'lemma coe_star_inv (u : Rˣ) : ↑(star u)⁻¹ = (star ↑u⁻¹ : R)', 'lemma coe_star (u : Rˣ) : ↑(star u) = (star ↑u : R)']"
87,86,29,86_preimageeqiffeqimage_imagesubset_imagemulright_linearmapclass,"['preimageeqiffeqimage', 'imagesubset', 'imagemulright', 'linearmapclass', 'mapstopreimage', 'preimagesunion', 'rootsetimageequiveqpreimagesymm', 'preimagesubsetpreimageiff', 'preimageunion', 'preimageimagepreimage']","[""lemma image_preimage {α β} (e : α ≃ β) (s : set β) : e '' (e ⁻¹' s) = s"", ""lemma preimage_subset_preimage_iff {s t : set α} {f : β → α} (hs : s ⊆ range f) :\n  f ⁻¹' s ⊆ f ⁻¹' t ↔ s ⊆ t"", ""lemma image_preimage_eq_iff {f : α → β} {s : set β} : f '' (f ⁻¹' s) = s ↔ s ⊆ range f""]"
88,87,29,87_supr_icompl_hassup_suprrange,"['supr', 'icompl', 'hassup', 'suprrange', 'complsupr', 'suprmono', 'bddabove', 'language', 'lowerset', 'addsupr']","['lemma csupr_le [nonempty ι] {f : ι → α} {c : α} (H : ∀ x, f x ≤ c) : supr f ≤ c', ""lemma csupr_mono' {ι'} {f : ι → α} {g : ι' → α} (hg : bdd_above (range g))\n  (h : ∀ i, ∃ i', f i ≤ g i') : supr f ≤ supr g"", 'lemma csupr_le_iff [nonempty ι] {f : ι → α} {a : α} (hf : bdd_above (range f)) :\n  supr f ≤ a ↔ ∀ i, f i ≤ a']"
89,88,29,88_ldiff_appendinjright_length_hl,"['ldiff', 'appendinjright', 'length', 'hl', 'eqrecon', 'vector3', 'bit', 'sublistsuffixofunion', 'subsetappendleft', 'appendnenilofnenilleft']","[""theorem append_inj_right' {s₁ s₂ t₁ t₂ : list α} (h : s₁ ++ t₁ = s₂ ++ t₂)\n  (hl : length t₁ = length t₂) : t₁ = t₂"", 'theorem append_inj_right {s₁ s₂ t₁ t₂ : list α} (h : s₁ ++ t₁ = s₂ ++ t₂)\n  (hl : length s₁ = length s₂) : t₁ = t₂', 'lemma ldiff_bit : ∀ (a m b n),\n  ldiff (bit a m) (bit b n) = bit (a && bnot b) (ldiff m n)']"
90,89,29,89_implies_xistransitive_sat_istransitivesunion,"['implies', 'xistransitive', 'sat', 'istransitivesunion', 'transitive', 'reflgen', 'lt', 'isfixedpt', 'istrichotomous', 'preform']","['lemma sat_of_implies_of_sat {p q : preform} :\n  implies p q → sat p → sat q', ""lemma monotonicity.imp {p p' q q' : Prop} (h₁ : implies p' q') (h₂ : implies q p) :\n  implies (p → p') (q → q')"", ""lemma monotonicity.and {p p' q q' : Prop} (hp : implies p p') (hq : implies q q') :\n  implies (p ∧ q) (p' ∧ q')""]"
91,90,29,90_enumfrom_enum_xs_znum,"['enumfrom', 'enum', 'xs', 'znum', 'num', 'ntoznumneg', 'nth', 'ntoznum', 'enumfromcons', 'enumcons']","['lemma enum_append (xs ys : list α) :\n  enum (xs ++ ys) = enum xs ++ enum_from xs.length ys', ""lemma enum_cons' (x : α) (xs : list α) :\n  enum (x :: xs) = (0, x) :: (enum xs).map (prod.map nat.succ id)"", 'lemma enum_cons (x : α) (xs : list α) :\n  enum (x :: xs) = (0, x) :: enum_from 1 xs']"
92,91,28,91_ofdual_todual_withtoptodual_withbotofdual,"['ofdual', 'todual', 'withtoptodual', 'withbotofdual', 'grade', 'withbottodual', 'todualapplycoe', 'lttodualiff', 'orderdual', 'withbot']","['lemma monovary.dual_right : monovary f g → antivary f (to_dual ∘ g)', 'lemma grade_to_dual [grade_order 𝕆 α] (a : α) :\n  grade 𝕆ᵒᵈ (to_dual a) = to_dual (grade 𝕆 a)', 'lemma grade_of_dual [grade_order 𝕆 α] (a : αᵒᵈ) :\n  grade 𝕆 (of_dual a) = of_dual (grade 𝕆ᵒᵈ a)']"
93,92,28,92_semiconjby_conjaut_econj_isconj,"['semiconjby', 'conjaut', 'econj', 'isconj', 'aut', 'conj', 'sdisjsum', 'isconjiff', 'invsymmleftiff', 'invsymmleft']","['lemma conj_Aut_zpow (f : Aut X) (n : ℤ) : α.conj_Aut (f^n) = (α.conj_Aut f)^n', 'lemma trans_conj_Aut {Z : C} (β : Y ≅ Z) (f : Aut X) :\n  (α ≪≫ β).conj_Aut f = β.conj_Aut (α.conj_Aut f)', 'lemma map_conj {X Y : C} (α : X ≅ Y) (f : End X) :\n  F.map (α.conj f) = (F.map_iso α).conj (F.map f)']"
94,93,28,93_ofdual_todual_withbotofdual_withbot,"['ofdual', 'todual', 'withbotofdual', 'withbot', 'withtopofdual', 'withbottodual', 'hasle', 'withtop', 'hmul', 'coeofmclosureeqtopright']","['lemma sum_dual_distrib_symm_inr  :\n  (sum_dual_distrib α β).symm (inr (to_dual b)) = to_dual (inr b)', 'lemma coe_of_mclosure_eq_top_right (f : M → N) (hs : closure s = ⊤)\n  (h1 hmul) : ⇑(of_mclosure_eq_top_right f hs h1 hmul) = f', 'theorem ite_eq_ff_distrib (c : Prop) [decidable c] (a b : bool) : ((if c then a else b) = ff) = (if c then a = ff else b = ff)']"
95,94,28,94_disjoint_spairwisedisjoint_disjointofsubsetright_tinjon,"['disjoint', 'spairwisedisjoint', 'disjointofsubsetright', 'tinjon', 'tpairwisedisjoint', 'm2', 'iscompl', 'disjointofleright', 'disjointinsertright', 'm1tofinset']","['lemma disjoint_of_subset_right (h : t ⊆ u) (d : disjoint s u) : disjoint s t', 'lemma disjoint_compl_compl_right_iff : disjoint a bᶜᶜ ↔ disjoint a b', 'lemma disjoint_of_subset_left (h : s ⊆ u) (d : disjoint u t) : disjoint s t']"
96,95,28,95_addleoflenegadd_subltsubleft_addltaddofltofle_addltofltnegadd,"['addleoflenegadd', 'subltsubleft', 'addltaddofltofle', 'addltofltnegadd', 'addltofltsubleft', 'addltaddofleoflt', 'addleoflesubleft', 'intmodneg', 'leaddofsubleftle', 'leaddofsubrightle']","['lemma le_add_of_sub_left_le {a b c : ℤ} (h : a - b ≤ c) : a ≤ b + c', 'lemma neg_le_sub_right_of_le_add {a b c : ℤ} (h : c ≤ a + b) : -b ≤ a - c', 'lemma sub_le_sub {a b c d : ℤ} (hab : a ≤ b) (hcd : c ≤ d) : a - d ≤ b - c']"
97,96,28,96_ssigma_sigmamk_nodupkeys_sigma,"['ssigma', 'sigmamk', 'nodupkeys', 'sigma', 'sigmahommk', 'sigmamap', 'multisetsigma', 'memsigma', 'lsigma', 'sigmafstnodup']","[""theorem nodupkeys_iff_pairwise {l} : nodupkeys l ↔\n  pairwise (λ s s' : sigma β, s.1 ≠ s'.1) l"", 'theorem nodupkeys_singleton (s : sigma β) : nodupkeys [s]', 'theorem nodupkeys_of_nodupkeys_cons {s : sigma β} {l : list (sigma β)} (h : nodupkeys (s :: l)) :\n  nodupkeys l']"
